Title,Link,Price,Rating,Reviews
"POCO X6 Neo 5G (Astral Black, 8GB RAM, 128GB Storage) | Dimensity 6080 Processor | 5000 mAh Battery + 33W Fast Charging | 108MP + 2MP Rear Camera & 16MP Front Camera 4.0 out of 5 stars 748  5K+ bought in past monthLimited time deal  ₹11,999₹11,999 M.R.P: ₹19,999₹19,999 (40% off)Flat INR 1000 Off on SBICardsFlat INR 1000 Off on SBICards FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/POCO-Storage-Dimensity-Processor-Charging/dp/B0CY9C2KPS/ref=sr_1_11?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-11,"11,999",4.0,748
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box 4.0 out of 5 stars 1,728  5K+ bought in past monthLimited time deal  ₹7,498₹7,498 M.R.P: ₹8,999₹8,999 (17% off)₹500 off coupon appliedSave ₹500  with coupon  FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_12?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-12,"7,498",4.0,"1,728"
"Motorola G45 5G (Brilliant Blue, 8GB RAM, 128GB Storage) 4.0 out of 5 stars 124  2K+ bought in past month₹11,999₹11,999 M.R.P: ₹14,999₹14,999 (20% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI cardFREE delivery as soon as Mon, 3 Feb, 9 am - 5 pm Add to cart-RemoveMore Buying Choices₹11,998(37 new offers)",https://www.amazon.in/Motorola-Brilliant-Blue-128GB-Storage/dp/B0DDY9HMJG/ref=sr_1_13?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-13,"11,999",4.0,124
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage) 4.2 out of 5 stars 60,329  4K+ bought in past month₹16,249₹16,249 M.R.P: ₹19,999₹19,999 (19% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI cardFREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-RemoveMore Buying Choices₹15,800(19 new offers)",https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_14?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-14,"16,249",4.2,"60,329"
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging 4.0 out of 5 stars 946  5K+ bought in past month₹8,999₹8,999 M.R.P: ₹11,999₹11,999 (25% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove+1 other color/pattern",https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW4QD72/ref=sr_1_15?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-15,"8,999",4.0,946
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone 4.3 out of 5 stars 15,274  2K+ bought in past monthLimited time deal  ₹19,999₹19,999 M.R.P: ₹27,999₹27,999 (29% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/iQOO-MediaTek-Dimesity-Processor-Smartphone/dp/B07WGPJPR3/ref=sr_1_16?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-16,"19,999",4.3,"15,274"
"iQOO Z9 Lite 5G (Aqua Flow, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box 4.0 out of 5 stars 3,022  5K+ bought in past month₹11,499₹11,499 M.R.P: ₹15,499₹15,499 (26% off)Flat INR 500 Off on HDFC BankCardsFlat INR 500 Off on HDFC BankCards FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHSNYL5/ref=sr_1_17?dib=eyJ2IjoiMSJ9.xg5bd5ezL9J7iI3NtLqjAkb0JYWTinwIO2YFBJe6Djv3BbzuFXZhw0UZ5jutbUDuUBVQi2f-zXx2lx4_BA_UCyhy0LTk7C5BaSyfm2YpPcd9WZwUiYhqYcdYLDE8EYFR0ZDTVGrk0aanhq2UkncEzCQPG0hp6C6hOo4E-5sl1RINBLGKtj_Yre1GFnQzpvALRRfTbCPoT-BNFr4tdhVV2ALyiTXEz9R0n8TOOYZWjTs.9r6PhGH4y9eFOH7JCmriej1E2Zv1i2LhUPhMEJoDJqI&dib_tag=se&keywords=mobiles&qid=1738213614&sr=8-17&xpid=wYP0gjas_NQaC,"11,499",4.0,"3,022"
"realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box 4.1 out of 5 stars 4,800  5K+ bought in past month₹14,999₹14,999 M.R.P: ₹18,999₹18,999 (21% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0D3WXQN8N/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xg5bd5ezL9J7iI3NtLqjAkb0JYWTinwIO2YFBJe6Djv3BbzuFXZhw0UZ5jutbUDuUBVQi2f-zXx2lx4_BA_UCyhy0LTk7C5BaSyfm2YpPcd9WZwUiYhqYcdYLDE8EYFR0ZDTVGrk0aanhq2UkncEzCQPG0hp6C6hOo4E-5sl1RINBLGKtj_Yre1GFnQzpvALRRfTbCPoT-BNFr4tdhVV2ALyiTXEz9R0n8TOOYZWjTs.9r6PhGH4y9eFOH7JCmriej1E2Zv1i2LhUPhMEJoDJqI&dib_tag=se&keywords=mobiles&qid=1738213614&sr=8-18&xpid=wYP0gjas_NQaC,"14,999",4.1,"4,800"
"POCO M6 5G (Galactic Black, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6100+ 5G Processor | 5000 mAh Battery + 18W Fast Charging | 50 MP AI Dual-Camera System & Side Fingerprint Sensor 3.9 out of 5 stars 134  3K+ bought in past month₹8,499₹8,499 M.R.P: ₹9,499₹9,499 (11% off)₹500 off coupon appliedSave ₹500  with coupon FREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-RemoveMore Buying Choices₹8,399(2 new offers)",https://www.amazon.in/POCO-Dimensity-Processor-Dual-Camera-Fingerprint/dp/B0DDT7VQP3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xg5bd5ezL9J7iI3NtLqjAkb0JYWTinwIO2YFBJe6Djv3BbzuFXZhw0UZ5jutbUDuUBVQi2f-zXx2lx4_BA_UCyhy0LTk7C5BaSyfm2YpPcd9WZwUiYhqYcdYLDE8EYFR0ZDTVGrk0aanhq2UkncEzCQPG0hp6C6hOo4E-5sl1RINBLGKtj_Yre1GFnQzpvALRRfTbCPoT-BNFr4tdhVV2ALyiTXEz9R0n8TOOYZWjTs.9r6PhGH4y9eFOH7JCmriej1E2Zv1i2LhUPhMEJoDJqI&dib_tag=se&keywords=mobiles&qid=1738213614&sr=8-19&xpid=wYP0gjas_NQaC,"8,499",3.9,134
"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 12GB RAM, 256GB Storage) 4.0 out of 5 stars 291  1K+ bought in past month₹24,179.01₹24,179.01 M.R.P: ₹27,999₹27,999 (14% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI cardFREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-RemoveMore Buying Choices₹24,178(19 new offers)",https://www.amazon.in/Motorola-Fusion-Marshmallow-256GB-Storage/dp/B0D4JLSGBB/ref=sr_1_20?dib=eyJ2IjoiMSJ9.xg5bd5ezL9J7iI3NtLqjAkb0JYWTinwIO2YFBJe6Djv3BbzuFXZhw0UZ5jutbUDuUBVQi2f-zXx2lx4_BA_UCyhy0LTk7C5BaSyfm2YpPcd9WZwUiYhqYcdYLDE8EYFR0ZDTVGrk0aanhq2UkncEzCQPG0hp6C6hOo4E-5sl1RINBLGKtj_Yre1GFnQzpvALRRfTbCPoT-BNFr4tdhVV2ALyiTXEz9R0n8TOOYZWjTs.9r6PhGH4y9eFOH7JCmriej1E2Zv1i2LhUPhMEJoDJqI&dib_tag=se&keywords=mobiles&qid=1738213614&sr=8-20&xpid=wYP0gjas_NQaC,"24,179.",4.0,291
